tipo,data_grupo,datetime,valor,movement_id,titulo,kind
Rendimentos,17 de novembro de 2025,2025-11-17T05:09:20.000Z,0.17,B31WB65M6B7VXXBXJ,Rendimentos,investment
Rendimentos,11 de dezembro de 2025,2025-12-11T04:41:41.000Z,0.55,B3200Z0EE8NKCN1WJ,Rendimentos,investment
Rendimentos,10 de dezembro de 2025,2025-12-10T04:51:41.000Z,0.55,B31ZW2Y8RVJ9JBWVF,Rendimentos,investment
Rendimentos,9 de dezembro de 2025,2025-12-09T04:50:07.000Z,1.1,B31ZQ5KN6VJK945ZY,Rendimentos,investment
Rendimentos,8 de dezembro de 2025,2025-12-08T08:34:01.000Z,0.54,B31ZK0WFX3CREKMFE,Rendimentos,investment
Rendimentos,5 de dezembro de 2025,2025-12-05T08:37:02.000Z,0.55,B31Z49QJK7RX4311B,Rendimentos,investment
Rendimentos,4 de dezembro de 2025,2025-12-04T08:32:44.000Z,0.66,B31YZC3F9PZAN7E47,Rendimentos,investment
Rendimentos,3 de dezembro de 2025,2025-12-03T04:42:43.000Z,0.54,B31YSNVAK4P4ZTQBY,Rendimentos,investment
Rendimentos,2 de dezembro de 2025,2025-12-02T04:48:03.000Z,0.54,B31YMS97BKMBRZX13,Rendimentos,investment
Rendimentos,1 de dezembro de 2025,2025-12-01T05:25:20.000Z,0.62,B31YG05HEVCP9XJRR,Rendimentos,investment
Rendimentos,28 de novembro de 2025,2025-11-28T04:45:30.000Z,0.54,B31Y14BCH2YWKYSAT,Rendimentos,investment
Rendimentos,27 de novembro de 2025,2025-11-27T04:41:54.000Z,0.54,B31XW6T6REQZJ79V1,Rendimentos,investment
Rendimentos,26 de novembro de 2025,2025-11-26T09:05:16.000Z,0.24,B31XR6BX420PAMT9B,Rendimentos,investment
Rendimentos,25 de novembro de 2025,2025-11-25T04:43:07.000Z,0.18,B31XJCK85RG7BET4S,Rendimentos,investment
Rendimentos,24 de novembro de 2025,2025-11-24T04:58:51.000Z,0.32,B31XDH52C86B7X2WA,Rendimentos,investment
